"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"DS_MOTIVO_CASSACAO"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SP";"63312";"CERQUILHO";"250001040803";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PR";"74357";"ARAUCÁRIA";"160000659711";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RN";"16519";"CEARÁ-MIRIM";"200000940188";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RJ";"58440";"ITATIAIA";"190001244849";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"05630";"VIGIA";"140000962907";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04561";"FLORESTA DO ARAGUAIA";"140001246352";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SP";"64777";"GUARULHOS";"250000935559";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RJ";"58610";"NATIVIDADE";"190001227091";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MG";"46396";"ITACAMBIRA";"130001245784";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SP";"71536";"TABAPUÃ";"250000633435";"Ficha limpa (LC 64/90)"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04235";"BAIÃO";"140000931744";"Ficha limpa (LC 64/90)"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RN";"16217";"AREIA BRANCA";"200001197526";"Ficha limpa (LC 64/90)"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"GO";"92215";"ANÁPOLIS";"90000659846";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RJ";"58076";"BARRA MANSA";"190001246704";"Indeferimento de partido ou coligação."
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"AL";"28339";"PENEDO";"20000929492";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MG";"53856";"TRÊS CORAÇÕES";"130001267789";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PE";"24350";"IGARASSU";"170000693689";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"AP";"06106";"SERRA DO NAVIO";"30001262268";"Indeferimento de partido ou coligação."
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"BA";"33030";"ABARÉ";"50001239997";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MA";"08893";"SÃO JOSÉ DE RIBAMAR";"100001201689";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"GO";"93190";"CORUMBAÍBA";"90000686314";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MT";"90689";"TAPURAH";"110001209948";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"AC";"01058";"BRASILÉIA";"10001013075";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04472";"CASTANHAL";"140000820164";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RJ";"58190";"CAMPOS DOS GOYTACAZES";"190000859304";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"RN";"16713";"EXTREMOZ";"200000885992";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04030";"ACARÁ";"140001033033";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04030";"ACARÁ";"140001033036";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"TO";"92410";"ARAGUAÍNA";"270001033296";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MG";"53856";"TRÊS CORAÇÕES";"130000678620";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"MG";"40150";"AGUANIL";"130001140345";"Ausência de requisito de registro "
